"","LID","PolyLocation"
"1",10527,"Hidden Lake"
"2",10388,"Carrizo Wash"
"3",10389,"Picacho Recreation Area (river)"
"4",10390,"Taylor Lake"
"5",10519,"Taylor Lake Area (river)"
"6",10537,"Northern Ferguson Lake"
"7",10534,"Butler Lake"
"8",10528,"Island Lake"
"9",10521,"Cabin Lake (river)"
"10",10520,"Lookout Lake (river)"
"11",10523,"Clear Lake (river)"
"12",10531,"Tunnel Lake"
"13",10702,"Tunnel Lake (river)"
"14",10391,"Island Lake (river)"
"15",10530,"Lookout Lake"
"16",10524,"Butler Lake (river)"
"17",10385,"Adobe Lake"
"18",10386,"4S Beach Campground"
"19",10516,"Paddlewheeler Camp"
"20",10518,"Norton Lake Area (river)"
"21",10512,"Draper Lake Area (river)"
"22",10511,"Lighthouse Rock"
"23",10692,"Velian Wash"
"24",10517,"Adobe Lake Area (river)"
"25",10515,"Outpost Camp"
"26",10514,"Catfish Cove"
"27",10691,"Draper Lake"
"28",10522,"Yuma Wash"
"29",10526,"Norton Lake"
"30",10372,"Walker Lake Area (river)"
"31",10384,"Draper Lake Area (upstream)"
"32",10690,"Clip Wash"
"33",10371,"Cibola Lake Area (river)"
"34",10532,"Clear Lake"
"35",10529,"Cabin Lake"
"36",10373,"Three Fingers Lake"
"37",10513,"Cowbell Lake Area (river)"
"38",10689,"Walker Lake"
"39",10382,"Palo Verde Outfall at Walters Camp"
"40",10688,"Cibola Lake"
"41",10370,"Walters Camp Rd."
"42",10533,"Secret Lake"
"43",10425,"Mayflower County Park (upstream)"
"44",10381,"Palo Verde Outflow Drain"
"45",10450,"Goose Flats Area (river)"
"46",10395,"Ehrenberg Bridge (upstream)"
"47",10146,"Cibola Levee (downstream)"
"48",10222,"Cibola High Levee Pond"
"49",10687,"Palo Verde Valley"
"50",10097,"Palo Verde Oxbow (downstream)"
"51",10508,"Pretty Water"
"52",10099,"No Name backwater"
"53",10123,"Palo Verde Oxbow Bridge"
"54",10510,"Cibola NWR Bridge (downstream)"
"55",10095,"Sandy Cove"
"56",10130,"Colorado River downstream Ehlers"
"57",10163,"Palo Verde Oxbow (upstream)"
"58",10427,"Cibola Levee (upstream)"
"59",676,"Palo Verde Oxbow (lagoon)"
"60",10454,"Gould Wash"
"61",10422,"Farmers Bridge"
"62",10297,"Farmers Bridge (upstream)"
"63",10434,"Cibola NWR Bridge (upstream)"
"64",10509,"Cibola NWR Bridge"
"65",10134,"Farmers Bridge (downstream)"
"66",10455,"Unnamed Wash"
"67",10180,"Mule Wash"
"68",10433,"Mohave Wash"
"69",10426,"Ehler's Area (river)"
"70",1096,"Ehler's (C10)"
"71",10094,"McIntyre Park (C7)"
"72",10145,"Petes Wash"
"73",10144,"A10 Upper Area (river)"
"74",10448,"McIntyre Park Gravel Bar (river)"
"75",10484,"A10 Lower (middle culvert)"
"76",524,"A10 Lower"
"77",527,"A10 Upper"
"78",10462,"A10 Upper-River Culvert"
